127.0.0.1, 2018-04-06 00:29:02, GET, /, HTTP/1.1, 303, 0.006721
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/default/index, HTTP/1.1, 200, 1.301626
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.015561
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.016773
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.070270
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002189
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.088229
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002400
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.064048
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.061682
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.085276
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000972
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.045235
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.045037
127.0.0.1, 2018-04-06 00:29:04, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.089799
127.0.0.1, 2018-04-06 00:29:05, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.004829
127.0.0.1, 2018-04-06 00:30:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.104384
127.0.0.1, 2018-04-06 00:30:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.033793
127.0.0.1, 2018-04-06 00:40:40, GET, /, HTTP/1.1, 303, 0.015654
127.0.0.1, 2018-04-06 00:40:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.552531
127.0.0.1, 2018-04-06 00:40:41, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000931
127.0.0.1, 2018-04-06 00:40:42, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001174
127.0.0.1, 2018-04-06 00:40:42, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000900
127.0.0.1, 2018-04-06 00:41:14, GET, /start/, HTTP/1.1, 200, 0.248246
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001711
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003146
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.001444
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.004017
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003621
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001248
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.001964
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.003673
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.001551
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000748
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000850
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000681
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.027040
127.0.0.1, 2018-04-06 00:41:15, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.030081
127.0.0.1, 2018-04-06 00:41:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000417
127.0.0.1, 2018-04-06 00:41:25, GET, /admin/default/site, HTTP/1.1, 303, 0.230402
127.0.0.1, 2018-04-06 00:41:25, GET, /admin/default/index, HTTP/1.1, 200, 0.074969
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.001897
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002757
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.005983
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002113
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.012414
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.017499
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004601
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000836
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002091
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.029138
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.045373
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.058380
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.050358
127.0.0.1, 2018-04-06 00:41:26, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.004126
127.0.0.1, 2018-04-06 00:41:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000460
127.0.0.1, 2018-04-06 00:41:28, GET, /start/, HTTP/1.1, 200, 0.094786
127.0.0.1, 2018-04-06 00:41:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000417
127.0.0.1, 2018-04-06 00:41:52, GET, /admin/default/site, HTTP/1.1, 303, 0.009925
127.0.0.1, 2018-04-06 00:41:52, GET, /admin/default/index, HTTP/1.1, 200, 0.014654
127.0.0.1, 2018-04-06 00:41:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000442
127.0.0.1, 2018-04-06 00:41:54, GET, /start/, HTTP/1.1, 200, 0.040561
127.0.0.1, 2018-04-06 00:41:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
127.0.0.1, 2018-04-09 15:22:17, GET, /, HTTP/1.1, 303, 0.013116
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.577554
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003484
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002484
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004268
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.008109
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002025
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000889
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.007342
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.056104
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.027348
127.0.0.1, 2018-04-09 15:22:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.053188
127.0.0.1, 2018-04-09 15:22:19, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001947
127.0.0.1, 2018-04-09 15:22:19, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.007648
127.0.0.1, 2018-04-09 15:22:19, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.008102
127.0.0.1, 2018-04-09 15:23:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.039628
127.0.0.1, 2018-04-09 15:23:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.046685
127.0.0.1, 2018-04-09 15:23:19, GET, /start/, HTTP/1.1, 200, 0.213958
127.0.0.1, 2018-04-09 15:23:19, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.013649
127.0.0.1, 2018-04-09 15:23:19, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.015514
127.0.0.1, 2018-04-09 15:23:19, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000748
127.0.0.1, 2018-04-09 15:23:19, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.025542
127.0.0.1, 2018-04-09 15:23:19, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000883
127.0.0.1, 2018-04-09 15:23:19, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.030545
127.0.0.1, 2018-04-09 15:23:19, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.029054
127.0.0.1, 2018-04-09 15:23:19, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.001157
127.0.0.1, 2018-04-09 15:23:19, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000874
